chr	start	end	strand	gene_id	id
chr19	3454927	3575749	-	Ppp6r3	NM_001164159
chr19	14448071	14597213	-	Tle4	NM_001302951
chr19	16132830	16387453	+	Gnaq	NM_008139
chr19	16956117	17223932	+	Prune2	NM_181348
chr19	18749982	18892511	+	Trpm6	NM_153417
chr19	18930608	19001117	-	Rorb	NM_001289921
chr19	21778339	21858360	+	Tmem2	NM_001033759
chr19	23302608	23448322	-	Mamdc2	NM_174857
chr19	23558759	23652812	-	1700028P14Rik	NM_026188
chr19	24094501	24174140	-	Tjp2	NM_001198985
chr19	24999528	25202432	+	Dock8	NM_028785
chr19	25236974	25434498	+	Kank1	NM_001348180
chr19	27761720	27982948	-	Rfx3	NM_001166414
chr19	28258850	28680077	-	Glis3	NM_001305671
chr19	28835165	28913960	+	Slc1a1	NM_009199
chr19	31984650	32103140	-	Asah2	NM_018830
chr19	32122726	32211013	-	Sgms1	NM_001168526
chr19	34806935	34877917	-	Pank1	NM_023792
chr19	35958728	36057360	-	Htr7	NM_008315
chr19	36379066	36456204	+	Pcgf5	NM_029508
chr19	37899035	38043577	-	Myof	NM_001099634
chr19	38836578	38919923	+	Tbc1d12	NM_145952
chr19	40292039	40402310	-	Sorbs1	NM_001034964
chr19	45363733	45533343	+	Btrc	NM_001037758
chr19	46761608	46878580	+	Cnnm2	NM_001102471
chr19	53143996	53247326	+	Add3	NM_013758
chr19	53677305	53867080	+	Rbm20	NM_001170847
chr19	57033263	57119024	-	Ablim1	NM_001103178
chr19	57611033	58133340	+	Atrnl1	NM_181415
chr19	58235580	58455398	-	Gfra1	NM_001285457
chr19	60889748	61092555	+	Grk5	NM_018869
